Bus Company,Bus Type,Starting Point,Ending Point,Route,Departure Time,Arrival Time,Seats Available,Fare
Akota Transport,"1, Hino 1J Pluss, Non AC",Rajshahi,Dhaka,Chapai Nawabganj - Rajshahi - Baipail - Dhaka (Mohakhali),06:30 AM,12:00 PM,40,৳ 710
KTC Hanif,"1, Hino-1J, Non AC",Rajshahi,Dhaka,Chapai Nawabganj - Rajshahi - Natore - Puthia - Sirajganj -...,07:30 AM,02:00 PM,37,৳ 710
Akota Transport,"1, Hino 1J Pluss, Non AC",Rajshahi,Dhaka,Chapai Nawabganj - Rajshahi - Gazipur Bypass - Dhaka (Mohakh...,07:30 AM,01:00 PM,39,৳ 710
KTC Hanif,"1, Hino-1J, Non AC",Rajshahi,Dhaka,Chapai Nawabganj - Rajshahi - Natore - Puthia - Sirajganj -...,08:30 AM,03:00 PM,41,৳ 710
Akota Transport,"1, Hino 1J Pluss, Non AC",Rajshahi,Dhaka,Chapai Nawabganj - Rajshahi - Baipail - Dhaka (Mohakhali),08:30 AM,02:00 PM,40,৳ 710
Akota Transport,"1, Hino 1J Pluss, Non AC",Rajshahi,Dhaka,Chapai Nawabganj - Rajshahi - Gazipur Bypass - Dhaka (Mohakh...,09:00 AM,02:30 PM,39,৳ 710
KTC Hanif,"1, Hino-1J, Non AC",Rajshahi,Dhaka,Chapai Nawabganj - Rajshahi - Natore - Puthia - Sirajganj -...,09:30 AM,04:00 PM,36,৳ 710
Akota Transport,"1, Hino 1J Pluss, Non AC",Rajshahi,Dhaka,Chapai Nawabganj - Rajshahi - Gazipur Bypass- Dhaka (Mohakha...,10:00 AM,03:30 PM,40,৳ 710
KTC Hanif,"1, Hino-1J, Non AC",Rajshahi,Dhaka,Chapai Nawabganj - Rajshahi - Natore - Puthia - Sirajganj -...,10:30 AM,05:00 PM,40,৳ 710
Akota Transport,"1, Hino 1J Pluss, Non AC",Rajshahi,Dhaka,Chapai Nawabganj - Rajshahi - Gazipur Bypass - Dhaka (Mohakh...,11:00 AM,04:30 PM,40,৳ 710
Akota Transport,"1, Hino 1J Pluss, Non AC",Rajshahi,Dhaka,Chapai Nawabganj - Rajshahi - Baipail - Dhaka (Mohakhali),11:30 AM,05:00 PM,40,৳ 710
Akota Transport,"1, Hino 1J Pluss, Non AC",Rajshahi,Dhaka,Chapai Nawabganj - Rajshahi - Gazipur Baypass - Dhaka (Mohak...,12:30 PM,06:00 PM,38,৳ 710
KTC Hanif,"1, Hino-1J, Non AC",Rajshahi,Dhaka,Chapai Nawabganj - Rajshahi - Natore - Puthia - Sirajganj -...,01:30 PM,08:00 PM,37,৳ 710
Akota Transport,"1, Hino 1J Pluss, Non AC",Rajshahi,Dhaka,Chapai Nawabganj - Rajshahi - Gazipur Baypass - Dhaka (Mohak...,01:30 PM,07:00 PM,40,৳ 710
KTC Hanif,"1, Hino-1J, Non AC",Rajshahi,Dhaka,Chapai Nawabganj - Rajshahi - Natore - Puthia - Sirajganj -...,02:30 PM,09:00 PM,36,৳ 710
Akota Transport,"1, Hino 1J Pluss, Non AC",Rajshahi,Dhaka,Chapai Nawabganj - Rajshahi - Gazipur Bypass - Dhaka (Mohakh...,02:30 PM,08:00 PM,40,৳ 710
Akota Transport,"1, Hino 1J Pluss, Non AC",Rajshahi,Dhaka,Chapai Nawabganj - Rajshahi - Baipail - Dhaka (Mohakhali),03:30 PM,09:00 PM,39,৳ 710
KTC Hanif,"1, Hino-1J, Non AC",Rajshahi,Dhaka,Chapai Nawabganj - Rajshahi - Natore - Puthia - Sirajganj -...,03:30 PM,10:00 PM,35,৳ 710
KTC Hanif,"13, RM-2, AC Business Class",Rajshahi,Dhaka,Chapai Nawabganj - Raja Bari - Rajshahi - Natore - Puthia -...,03:45 PM,11:45 PM,28,৳ 1400
Akota Transport,"1, Hino 1J Pluss, Non AC",Rajshahi,Dhaka,Chapai Nawabganj - Rajshahi - Gazipur Baypass - Dhaka (Mohak...,04:30 PM,10:00 PM,40,৳ 710
